id,name,count
1,Fiero,20
2,207,703
3,Cabriolet,346
4,S60,600
5,A8,738
6,F-Series,972
7,Probe,110
8,Econoline E350,71
9,Sequoia,414
10,Grand Am,853
11,Express 3500,294
12,STS,426
13,Elantra,388
14,Neon,189
15,Altima,349
16,5 Series,99
17,CLK-Class,577
18,350Z,412
19,Vandura G3500,155
20,Suburban 1500,80
21,Corolla,955
22,Flex,63
23,Z8,52
24,Express 1500,105
25,Tracker,439
26,Topaz,285
27,Civic,166
28,Suburban 1500,234
29,V70,408
30,Dakota Club,318
31,MX-3,591
32,ES,885
33,Savana 2500,643
34,Endeavor,891
35,Outlook,252
36,Catera,277
37,Range Rover,764
38,CTS-V,963
39,MKZ,824
40,Explorer Sport Trac,454
41,Vibe,153
42,MPV,710
43,Cavalier,538
44,Mazda6,480
45,1500,238
46,QX,353
47,Tracer,383
48,Savana 2500,66
49,Venza,412
50,Yukon XL 1500,1
51,Escape,201
52,E-Class,401
53,Concorde,716
54,Civic Si,98
55,Supra,68
56,3500 Club Coupe,478
57,100,736
58,Ram 3500,437
59,GS,676
60,Q7,636
61,Swift,909
62,Charger,422
63,Intrigue,362
64,Ram 2500,202
65,Sonata,860
66,Tempo,719
67,M-Class,202
68,NSX,807
69,V70,264
70,Viper,874
71,LeMans,654
72,Rally Wagon 3500,523
73,NSX,16
74,CX-7,325
75,DB9,363
76,Express 3500,216
77,Tracer,804
78,LX,130
79,XC90,796
80,Avenger,99
81,Montero Sport,973
82,S40,55
83,62,776
84,Equinox,958
85,Defender 110,903
86,Viper,487
87,V8,443
88,2500,625
89,E-Class,767
90,C30,666
91,525,479
92,DeVille,135
93,Savana 2500,921
94,Oasis,455
95,Impala,945
96,LeSabre,939
97,Rally Wagon 3500,483
98,CLS-Class,826
99,X-Type,966
100,Intrepid,977
111,nz,99
